,title,category,url,img_url
0,"

                        מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099482,https://img.zap.co.il/pics/3/4/3/5/58935343c.gif
1,"

                        מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099482,https://img.zap.co.il/pics/3/4/3/5/58935343c.gif
2,"

                        מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099482,https://img.zap.co.il/pics/3/4/3/5/58935343c.gif
3,"

                        מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099482,https://img.zap.co.il/pics/3/4/3/5/58935343c.gif
4,"

                        מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099482,https://img.zap.co.il/pics/3/4/3/5/58935343c.gif
5,"

                        מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099482,https://img.zap.co.il/pics/3/4/3/5/58935343c.gif
6,"

                        מחשב נייד Apple MacBook Air 13 MGN63HB/A MGN93HB/A MGND3HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099482,https://img.zap.co.il/pics/3/4/3/5/58935343c.gif
7,"

                        מחשב נייד Dell Vostro 3510 V3510-3015 דל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1143597,https://img.zap.co.il/pics/0/8/7/3/68543780c.gif
8,"

                        מחשב נייד Lenovo V14-ADA 82C6006AIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1097913,https://img.zap.co.il/pics/7/4/7/3/58743747c.gif
9,"

                        מחשב נייד HP 250 G8 2X7L0EA
                    
",c-pclaptop,/ratemodel.aspx?modelid=1106790,https://img.zap.co.il/pics/9/7/1/7/60877179c.gif
10,"

                        מחשב נייד Asus VivoBook 14 K413EA-EK1730 אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1138577,https://img.zap.co.il/pics/4/7/0/4/67814074c.gif
11,"

                        מחשב נייד Asus X515EA-BQ1185 אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1128117,https://img.zap.co.il/pics/7/0/0/1/65681007c.gif
12,"

                        מחשב נייד Asus X515EA-BQ1185 אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1128117,https://img.zap.co.il/pics/7/0/0/1/65681007c.gif
13,"

                        מחשב נייד Apple MacBook Air 13 Z12400072 Z1270004A Z12A000B3 אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1131434,https://img.zap.co.il/pics/9/1/5/7/66817519c.gif
14,"

                        מחשב נייד Apple MacBook Pro 13 MYD82HB/A MYDA2HB/A אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1099546,https://img.zap.co.il/pics/1/6/6/2/59422661c.gif
15,"

                        מחשב נייד Asus X515EA-BQ1206 אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1142406,https://img.zap.co.il/pics/3/5/8/0/67590853c.gif
16,"

                        מחשב נייד Lenovo V14 82C4007VIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1066287,https://img.zap.co.il/pics/6/8/5/8/55278586c.gif
17,"

                        מחשב נייד Lenovo V14 82C4007VIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1066287,https://img.zap.co.il/pics/6/8/5/8/55278586c.gif
18,"

                        מחשב נייד Lenovo V14 82C4007VIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1066287,https://img.zap.co.il/pics/6/8/5/8/55278586c.gif
19,"

                        מחשב נייד Lenovo V14 82C4007VIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1066287,https://img.zap.co.il/pics/6/8/5/8/55278586c.gif
20,"

                        מחשב נייד Lenovo V14 82C4007VIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1066287,https://img.zap.co.il/pics/6/8/5/8/55278586c.gif
21,"

                        מחשב נייד Lenovo V14 82C4007VIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1066287,https://img.zap.co.il/pics/6/8/5/8/55278586c.gif
22,"

                        מחשב נייד Dell Inspiron 3511 N3511-7232 דל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1129516,https://img.zap.co.il/pics/4/4/9/2/66542944c.gif
23,"

                        מחשב נייד Dell Inspiron 3511 N3511-7232 דל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1129516,https://img.zap.co.il/pics/4/4/9/2/66542944c.gif
24,"

                        מחשב נייד Apple MacBook Pro 13 Z11B00071 Z11D0005L אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1101608,https://img.zap.co.il/pics/3/3/6/8/59648633c.gif
25,"

                        מחשב נייד Apple MacBook Pro 13 Z11B00071 Z11D0005L אפל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1101608,https://img.zap.co.il/pics/3/3/6/8/59648633c.gif
26,"

                        מחשב נייד Lenovo IdeaPad 3 15ALC6 82KU00F5IV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1127097,https://img.zap.co.il/pics/7/2/4/6/68806427c.gif
27,"

                        מחשב נייד Asus X515EA-BQ950 אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1125639,https://img.zap.co.il/pics/6/3/2/9/65749236c.gif
28,"

                        מחשב נייד HP Pavilion 14-dv0001nj 308Q8EA
                    
",c-pclaptop,/ratemodel.aspx?modelid=1103760,https://img.zap.co.il/pics/1/6/1/7/59617161c.gif
29,"

                        מחשב נייד HP Pavilion 14-dv0001nj 308Q8EA
                    
",c-pclaptop,/ratemodel.aspx?modelid=1103760,https://img.zap.co.il/pics/1/6/1/7/59617161c.gif
30,"

                        מחשב נייד Lenovo ThinkPad E14 Gen 2 20TA005HIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1108506,https://img.zap.co.il/pics/8/2/2/6/61116228c.gif
31,"

                        מחשב נייד Asus E203MA-FD100TS אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1114236,https://img.zap.co.il/pics/7/3/8/7/62197837c.gif
32,"

                        מחשב נייד Asus E203MA-FD100TS אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1114236,https://img.zap.co.il/pics/7/3/8/7/62197837c.gif
33,"

                        מחשב נייד Asus E203MA-FD100TS אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1114236,https://img.zap.co.il/pics/7/3/8/7/62197837c.gif
34,"

                        מחשב נייד Asus E203MA-FD100TS אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1114236,https://img.zap.co.il/pics/7/3/8/7/62197837c.gif
35,"

                        מחשב נייד Asus E203MA-FD100TS אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1114236,https://img.zap.co.il/pics/7/3/8/7/62197837c.gif
36,"

                        מחשב נייד Asus E203MA-FD100TS אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1114236,https://img.zap.co.il/pics/7/3/8/7/62197837c.gif
37,"

                        מחשב נייד Lenovo ThinkBook 15 G2 20VE00FNIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1112896,https://img.zap.co.il/pics/0/9/9/4/59344990c.gif
38,"

                        מחשב נייד Lenovo ThinkPad P14s Gen 2 21A0000MIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1126048,https://img.zap.co.il/pics/2/4/3/5/65825342c.gif
39,"

                        מחשב נייד Lenovo ThinkPad P14s Gen 2 21A0000MIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1126048,https://img.zap.co.il/pics/2/4/3/5/65825342c.gif
40,"

                        מחשב נייד Asus ZenBook 14 UX425EA-KI862W אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1140608,https://img.zap.co.il/pics/0/6/7/8/68078760c.gif
41,"

                        מחשב נייד Lenovo IdeaPad Gaming 3 15ACH6 82K2004NIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1129796,https://img.zap.co.il/pics/2/3/1/4/66614132c.gif
42,"

                        מחשב נייד Dell Latitude 7420 L7420-8650 דל
                    
",c-pclaptop,/ratemodel.aspx?modelid=1109058,https://img.zap.co.il/pics/1/4/2/9/61219241c.gif
43,"

                        מחשב נייד Lenovo ThinkBook 13s G2 ITL 20V9003UIV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1102712,https://img.zap.co.il/pics/0/3/0/5/69965030c.gif
44,"

                        מחשב נייד Lenovo ThinkBook 15 G2 20VE0042IV לנובו
                    
",c-pclaptop,/ratemodel.aspx?modelid=1112760,https://img.zap.co.il/pics/1/0/2/7/67757201c.gif
45,"

                        מחשב נייד Asus X515MA-EJ450 אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1130720,https://img.zap.co.il/pics/8/7/5/7/65437578c.gif
46,"

                        מחשב נייד Asus X515EA-BQ1184 אסוס
                    
",c-pclaptop,/ratemodel.aspx?modelid=1132497,https://img.zap.co.il/pics/7/5/6/6/66886657c.gif
47,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
48,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
49,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
50,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
51,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
52,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
53,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
54,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
55,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
56,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
57,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
58,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
59,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
60,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
61,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
62,"

                        אוזניות Apple AirPods 2 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1020087,https://img.zap.co.il/pics/9/4/2/1/49811249c.gif
63,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
64,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
65,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
66,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
67,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
68,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
69,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
70,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
71,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
72,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
73,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
74,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
75,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
76,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
77,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
78,"

                        אוזניות Apple AirPods Pro True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1045012,https://img.zap.co.il/pics/0/3/2/3/52703230c.gif
79,"

                        אוזניות Apple AirPods 3 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1127466,https://img.zap.co.il/pics/6/4/9/5/66285946c.gif
80,"

                        אוזניות Apple AirPods 3 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1127466,https://img.zap.co.il/pics/6/4/9/5/66285946c.gif
81,"

                        אוזניות Apple AirPods 3 True Wireless אפל
                    
",e-headphone,/ratemodel.aspx?modelid=1127466,https://img.zap.co.il/pics/6/4/9/5/66285946c.gif
82,"

                        אוזניות Samsung Galaxy Buds Pro SM-R190 True Wireless סמסונג
                    
",e-headphone,/ratemodel.aspx?modelid=1102290,https://img.zap.co.il/pics/8/9/6/9/61309698c.gif
83,"

                        אוזניות Samsung Galaxy Buds Pro SM-R190 True Wireless סמסונג
                    
",e-headphone,/ratemodel.aspx?modelid=1102290,https://img.zap.co.il/pics/8/9/6/9/61309698c.gif
84,"

                        אוזניות Samsung Galaxy Buds Pro SM-R190 True Wireless סמסונג
                    
",e-headphone,/ratemodel.aspx?modelid=1102290,https://img.zap.co.il/pics/8/9/6/9/61309698c.gif
85,"

                        אוזניות Samsung Galaxy Buds Pro SM-R190 True Wireless סמסונג
                    
",e-headphone,/ratemodel.aspx?modelid=1102290,https://img.zap.co.il/pics/8/9/6/9/61309698c.gif
86,"

                        אוזניות Samsung Galaxy Buds Pro SM-R190 True Wireless סמסונג
                    
",e-headphone,/ratemodel.aspx?modelid=1102290,https://img.zap.co.il/pics/8/9/6/9/61309698c.gif
